ID,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
ASV538,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV436,0,2,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0
ASV197,14,10,10,10,15,6,3,4,14,8,11,9,14,14,7,7,9,9,4,7,6,5,9,5
ASV1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV232,15,14,6,14,9,6,6,7,15,10,0,3,2,3,9,6,12,9,2,10,10,10,3,13
ASV973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
ASV471,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,2,0
ASV522,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ASV1080,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ASV1010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1101,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1154,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
ASV1284,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ASV1068,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ASV343,10,0,4,0,8,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ASV491,0,2,4,8,4,3,0,2,2,0,3,3,0,0,0,0,0,0,0,0,2,2,0,0
ASV16,0,11,10,20,0,18,83,92,62,27,91,203,597,28,9,21,26,13,177,94,130,37,34,29
ASV25,0,0,0,0,0,0,32,29,19,10,16,12,29,2,19,19,22,60,98,60,114,115,55,85
ASV571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ASV20,463,676,788,567,718,826,601,468,471,653,370,235,86,113,127,237,241,189,143,122,104,172,152,147
ASV326,7,8,0,7,3,6,10,9,0,8,9,10,0,4,4,8,11,18,0,9,6,6,7,5
ASV209,7,3,5,0,0,2,0,0,4,4,0,9,4,2,2,2,4,4,4,6,0,5,4,12
ASV213,16,2,9,3,12,8,20,5,8,4,14,9,10,18,23,20,19,14,3,20,28,23,14,12
ASV63,16,22,19,0,20,21,16,22,18,27,24,21,21,21,20,16,17,13,34,29,24,23,21,29
